Code,Area,Title,Workbook name,Worksheet name
Ac,Ac,Activity,Uniclass2015_Ac_v1_11,Ac
Co,Co,Complexes,Uniclass2015_Co_v1_10,Co
EF,EF,Elements/functions,Uniclass2015_EF_v1_6,EF
En,En,Entities,Uniclass2015_En_v1_16,En
FI,FI,Form of information,Uniclass2015_FI_v1_3,FI
PM,PM,Project Management,Uniclass2015_PM_v1_8,PM
Pr,Pr,Products,Uniclass2015_Pr_v1_18,Pr
Ro,Ro,Roles,Uniclass2015_Ro_v1_2,Ro
SL,SL,Spaces/locations,Uniclass2015_SL_v1_16,SL
Ss,Ss,Systems,Uniclass2015_Ss_v1_18,Ss
TE,TE,Tools and Equipment,Uniclass2015_TE_v1_7,TE
Zz,Zz,CAD,Uniclass2015_Zz_v1_0,Zz
